no,요구사항MD,요구사항 명,상세 요구사항 정의,정의,구분,도출단계,상태,제약사항,수용여부,변경내역,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PR-CMT-01,댓글 페이징,댓글 스크롤에 따라 다음/이전 구간을 추가 호출한다.,성능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,FR-CMT-02,댓글 입력/등록,입력된 텍스트가 있을 때 엔터/전송 시 댓글 등록 요청을 서버로 전달하고 성공 시 목록을 갱신한다.,기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,FR-CMT-03,댓글 유효성,텍스트가 비어있으면 등록이 실패되어야 하며 사용자에게 안내한다.,기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,FR-WRITE-01,작성 화면 진입,+ 버튼 클릭 시 게시글 작성 화면으로 이동한다.,기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,FR-WRITE-02,필수값 검증,저장 전 제목/내용/카테고리 필수 입력 여부를 검증한다. 미충족 시 저장 불가 및 안내한다.,기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FR-WRITE-03,게시글 저장,필수값 충족 시 게시글을 저장한다. (예: post INSERT),기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,FR-WRITE-04,이미지 첨부 선택,이미지 첨부 여부를 선택할 수 있다.,기능,신규,,,업로드 정책(개수/용량) 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,FR-WRITE-05,이미지 저장,이미지 첨부 시 이미지 정보를 1건 저장한다. (예: post_image INSERT 1건),기능,신규,,,스토리지/URL 정책 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FR-WRITE-06,위치 입력 선택,위치 입력 여부를 선택할 수 있다.,기능,신규,,,위치 포맷(좌표/주소) 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FR-WRITE-07,위치 저장,위치 입력 시 위치 정보를 저장한다. (예: map INSERT),기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,FR-WRITE-08,등록 완료 후 복귀,저장 완료 시 홈(게시글 목록)로 복귀한다.,기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,FR-MAP-01,지도 화면 진입,네비게이터에서 지도 탭 클릭 시 지도 화면으로 이동한다.,기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,FR-MAP-02,위치 권한 확인,지도 진입 시 위치정보 제공 여부를 확인하고 동의 시 현재 위치를 사용한다.,기능,신규,,,권한 UX 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,FR-MAP-03,지도 API 키 제공,서버는 지도 API 조회 키를 전달하고 프론트는 해당 키로 지도 조회를 수행한다.,기능,신규,,,키 보안 정책 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,FR-MAP-04,마커 로드,현재 위치 기준 표시할 핀(마커) 정보를 전달받아 표시한다.,기능,신규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PR-MAP-01,마커 제한 정책,위치정보가 있는 게시글 중 현재 위치 기준 거리 오름차순으로 약 100개만 전달한다.,성능,신규,,,서버 필터링/정렬 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PR-MAP-02,지도 상호작용 갱신,줌/드래그/현재위치 클릭 등으로 중심이 바뀌면 중심좌표 기준으로 마커를 갱신한다.,성능,신규,,,과호출 방지 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
